"label","department_name","region_name"
"mournans charbonny","jura","bourgogne-franche-comté"
"les moussieres","jura","bourgogne-franche-comté"
"moutoux","jura","bourgogne-franche-comté"
"les trois chateaux","jura","bourgogne-franche-comté"
"nancuise","jura","bourgogne-franche-comté"
"les nans","jura","bourgogne-franche-comté"
"nevy les dole","jura","bourgogne-franche-comté"
"nevy sur seille","jura","bourgogne-franche-comté"
"offlanges","jura","bourgogne-franche-comté"
"onoz","jura","bourgogne-franche-comté"
"orgelet","jura","bourgogne-franche-comté"
"pagney","jura","bourgogne-franche-comté"
"passenans","jura","bourgogne-franche-comté"
"peseux","jura","bourgogne-franche-comté"
"picarreau","jura","bourgogne-franche-comté"
"plasne","jura","bourgogne-franche-comté"
"poids de fiole","jura","bourgogne-franche-comté"
"poligny","jura","bourgogne-franche-comté"
"pont du navoy","jura","bourgogne-franche-comté"
"rahon","jura","bourgogne-franche-comté"
"rotalier","jura","bourgogne-franche-comté"
"rothonay","jura","bourgogne-franche-comté"
"rouffange","jura","bourgogne-franche-comté"
"les rousses","jura","bourgogne-franche-comté"
"les rousses","jura","bourgogne-franche-comté"
"ste agnes","jura","bourgogne-franche-comté"
"st claude","jura","bourgogne-franche-comté"
"st cyr montmalin","jura","bourgogne-franche-comté"
"st didier","jura","bourgogne-franche-comté"
"val suran","jura","bourgogne-franche-comté"
"val suran","jura","bourgogne-franche-comté"
"coteaux du lizon","jura","bourgogne-franche-comté"
"st maur","jura","bourgogne-franche-comté"
"st maurice crillat","jura","bourgogne-franche-comté"
"salans","jura","bourgogne-franche-comté"
"santans","jura","bourgogne-franche-comté"
"sarrogna","jura","bourgogne-franche-comté"
"songeson","jura","bourgogne-franche-comté"
"soucia","jura","bourgogne-franche-comté"
"souvans","jura","bourgogne-franche-comté"
"tassenieres","jura","bourgogne-franche-comté"
"la tour du meix","jura","bourgogne-franche-comté"
"trenal","jura","bourgogne-franche-comté"
"verges","jura","bourgogne-franche-comté"
"villerserine","jura","bourgogne-franche-comté"
"villette les arbois","jura","bourgogne-franche-comté"
"le villey","jura","bourgogne-franche-comté"
"val sonnette","jura","bourgogne-franche-comté"
"val sonnette","jura","bourgogne-franche-comté"
"vincent froideville","jura","bourgogne-franche-comté"
"vosbles valfin","jura","bourgogne-franche-comté"
"anlezy","nièvre","bourgogne-franche-comté"
"anthien","nièvre","bourgogne-franche-comté"
"arleuf","nièvre","bourgogne-franche-comté"
"asnan","nièvre","bourgogne-franche-comté"
"aunay en bazois","nièvre","bourgogne-franche-comté"
"biches","nièvre","bourgogne-franche-comté"
"billy chevannes","nièvre","bourgogne-franche-comté"
"blismes","nièvre","bourgogne-franche-comté"
"breves","nièvre","bourgogne-franche-comté"
"challuy","nièvre","bourgogne-franche-comté"
"champlin","nièvre","bourgogne-franche-comté"
"champvert","nièvre","bourgogne-franche-comté"
"chaumot","nièvre","bourgogne-franche-comté"
"colmery","nièvre","bourgogne-franche-comté"
"corbigny","nièvre","bourgogne-franche-comté"
"cossaye","nièvre","bourgogne-franche-comté"
"dirol","nièvre","bourgogne-franche-comté"
"dommartin","nièvre","bourgogne-franche-comté"
"empury","nièvre","bourgogne-franche-comté"
"epiry","nièvre","bourgogne-franche-comté"
"garchizy","nièvre","bourgogne-franche-comté"
"lamenay sur loire","nièvre","bourgogne-franche-comté"
"lormes","nièvre","bourgogne-franche-comté"
"lucenay les aix","nièvre","bourgogne-franche-comté"
"la machine","nièvre","bourgogne-franche-comté"
"mesves sur loire","nièvre","bourgogne-franche-comté"
"metz le comte","nièvre","bourgogne-franche-comté"
"mhere","nièvre","bourgogne-franche-comté"
"moissy moulinot","nièvre","bourgogne-franche-comté"
"montaron","nièvre","bourgogne-franche-comté"
"montigny aux amognes","nièvre","bourgogne-franche-comté"
"montsauche les settons","nièvre","bourgogne-franche-comté"
"moussy","nièvre","bourgogne-franche-comté"
"neuvy sur loire","nièvre","bourgogne-franche-comté"
"parigny les vaux","nièvre","bourgogne-franche-comté"
"perroy","nièvre","bourgogne-franche-comté"
"pougny","nièvre","bourgogne-franche-comté"
"raveau","nièvre","bourgogne-franche-comté"
"rix","nièvre","bourgogne-franche-comté"
"rouy","nièvre","bourgogne-franche-comté"
"saincaize meauce","nièvre","bourgogne-franche-comté"
"st amand en puisaye","nièvre","bourgogne-franche-comté"
"st andelain","nièvre","bourgogne-franche-comté"
"st aubin les forges","nièvre","bourgogne-franche-comté"
"st benin d azy","nièvre","bourgogne-franche-comté"
"st brisson","nièvre","bourgogne-franche-comté"
"ste colombe des bois","nièvre","bourgogne-franche-comté"
"st didier","nièvre","bourgogne-franche-comté"
"st germain des bois","nièvre","bourgogne-franche-comté"
"st hilaire en morvan","nièvre","bourgogne-franche-comté"
"st martin d heuille","nièvre","bourgogne-franche-comté"
"st parize le chatel","nièvre","bourgogne-franche-comté"
"st pereuse","nièvre","bourgogne-franche-comté"
"st pierre du mont","nièvre","bourgogne-franche-comté"
"st saulge","nièvre","bourgogne-franche-comté"
"saizy","nièvre","bourgogne-franche-comté"
"sauvigny les bois","nièvre","bourgogne-franche-comté"
"savigny poil fol","nièvre","bourgogne-franche-comté"
"sermages","nièvre","bourgogne-franche-comté"
"sougy sur loire","nièvre","bourgogne-franche-comté"
"taconnay","nièvre","bourgogne-franche-comté"
"tamnay en bazois","nièvre","bourgogne-franche-comté"
"ternant","nièvre","bourgogne-franche-comté"
"tintury","nièvre","bourgogne-franche-comté"
"tracy sur loire","nièvre","bourgogne-franche-comté"
"trois vevres","nièvre","bourgogne-franche-comté"
"varennes vauzelles","nièvre","bourgogne-franche-comté"
"vauclaix","nièvre","bourgogne-franche-comté"
"villapourcon","nièvre","bourgogne-franche-comté"
"villiers le sec","nièvre","bourgogne-franche-comté"
"abergement la ronce","jura","bourgogne-franche-comté"
"aiglepierre","jura","bourgogne-franche-comté"
"andelot en montagne","jura","bourgogne-franche-comté"
"annoire","jura","bourgogne-franche-comté"
"arbois","jura","bourgogne-franche-comté"
"ardon","jura","bourgogne-franche-comté"
"arinthod","jura","bourgogne-franche-comté"
"les arsures","jura","bourgogne-franche-comté"
"la chailleuse","jura","bourgogne-franche-comté"
"augea","jura","bourgogne-franche-comté"
"augisey","jura","bourgogne-franche-comté"
"authume","jura","bourgogne-franche-comté"
"baresia sur l ain","jura","bourgogne-franche-comté"
"bersaillin","jura","bourgogne-franche-comté"
"bief du fourg","jura","bourgogne-franche-comté"
"bletterans","jura","bourgogne-franche-comté"
"boissia","jura","bourgogne-franche-comté"
"brainans","jura","bourgogne-franche-comté"
"cernans","jura","bourgogne-franche-comté"
"cesancey","jura","bourgogne-franche-comté"
"chamblay","jura","bourgogne-franche-comté"
"champagney","jura","bourgogne-franche-comté"
"champagnole","jura","bourgogne-franche-comté"
"champdivers","jura","bourgogne-franche-comté"
"champrougier","jura","bourgogne-franche-comté"
"la chassagne","jura","bourgogne-franche-comté"
"chatel de joux","jura","bourgogne-franche-comté"
"la chaumusse","jura","bourgogne-franche-comté"
"chaux des crotenay","jura","bourgogne-franche-comté"
"nanchez","jura","bourgogne-franche-comté"
"st hymetiere sur valouse","jura","bourgogne-franche-comté"
"st hymetiere sur valouse","jura","bourgogne-franche-comté"
"st hymetiere sur valouse","jura","bourgogne-franche-comté"
"chevreaux","jura","bourgogne-franche-comté"
"chevrotaine","jura","bourgogne-franche-comté"
"choux","jura","bourgogne-franche-comté"
"courbette","jura","bourgogne-franche-comté"
"crans","jura","bourgogne-franche-comté"
"cressia","jura","bourgogne-franche-comté"
"darbonnay","jura","bourgogne-franche-comté"
"desnes","jura","bourgogne-franche-comté"
"domblans","jura","bourgogne-franche-comté"
"ecrille","jura","bourgogne-franche-comté"
"val d epy","jura","bourgogne-franche-comté"
"val d epy","jura","bourgogne-franche-comté"
"l etoile","jura","bourgogne-franche-comté"
"falletans","jura","bourgogne-franche-comté"
"fay en montagne","jura","bourgogne-franche-comté"
"la ferte","jura","bourgogne-franche-comté"
"fontenu","jura","bourgogne-franche-comté"
